Name,Sex,Event,Equipment,AgeClass,Division,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Country,Date
Elise Rummens,F,SBD,Raw,40-44,Masters 1,57,120.0,72.5,170.0,362.5,Belgium,2022-10-08
Evelyne Roos,F,SBD,Raw,40-44,Masters 1,84,130.0,65.0,162.5,357.5,Belgium,2022-10-08
Jana Dutordoir,F,SBD,Raw,20-23,Juniors,63,140.0,72.5,175.0,387.5,Belgium,2023-08-27
Anne-Sophie Brysse,F,SBD,Raw,20-23,Juniors,63,150.0,80.0,152.5,382.5,Belgium,2023-08-27
Clara Haulot,F,SBD,Raw,20-23,Juniors,69,157.5,82.5,180.0,420.0,Belgium,2023-08-27
Kaya Goossens,F,SBD,Raw,20-23,Juniors,69,152.5,82.5,175.0,410.0,Belgium,2023-08-27
Joachim Smet,M,SBD,Raw,20-23,Juniors,83,225.0,142.5,267.5,635.0,Belgium,2023-08-27
Jean-Philippe Haid,M,SBD,Raw,20-23,Juniors,93,232.5,130.0,272.5,635.0,Belgium,2023-08-27
Jonathan Celis,M,SBD,Raw,20-23,Juniors,93,285.0,187.5,285.0,757.5,Belgium,2023-08-27
Andrea Cervi,M,SBD,Raw,20-23,Juniors,66,197.5,122.5,232.5,552.5,Belgium,2023-08-27
Imad Hamich,M,SBD,Raw,20-23,Juniors,105,285.0,192.5,302.5,780.0,Belgium,2023-08-27
Kenji Borremans,M,SBD,Raw,18-19,Sub-Juniors,93,235.0,157.5,235.0,627.5,Belgium,2023-08-27
Bryan Magbetha,M,SBD,Raw,18-19,Sub-Juniors,93,225.0,157.5,275.0,657.5,Belgium,2023-08-27
Mario Magro,M,SBD,Raw,18-19,Sub-Juniors,66,215.0,120.0,250.0,585.0,Belgium,2023-08-27
Julie Muscolino,F,SBD,Raw,35-39,Open,47,112.5,60.0,147.5,320.0,Belgium,2024-06-15
Sahyuri Lalime,F,SBD,Raw,35-39,Open,63,177.5,92.5,200.0,470.0,Belgium,2024-06-15
Chiara Callens,F,SBD,Raw,24-34,Open,69,155.0,92.5,185.0,432.5,Belgium,2024-06-15
Naïs Hallou,F,SBD,Raw,24-34,Open,69,157.5,95.0,175.0,427.5,Belgium,2024-06-15
Sonita Muluh,F,SBD,Raw,24-34,Open,84+,311.0,152.5,267.5,731.0,Belgium,2024-06-15
Elias De Buck,M,SBD,Raw,24-34,Open,83,260.0,175.0,285.0,720.0,Belgium,2024-06-15
Louis Fauvarque,M,SBD,Raw,24-34,Open,93,242.5,177.5,317.5,737.5,Belgium,2024-06-15
Bert Boydens,M,SBD,Raw,24-34,Open,93,257.5,160.0,320.0,737.5,Belgium,2024-06-15
Joël Vanhevel,M,SBD,Raw,24-34,Open,105,307.5,202.5,310.0,820.0,Belgium,2024-06-15
Hicor Zakaria,M,SBD,Raw,24-34,Open,105,265.0,182.5,317.5,765.0,Belgium,2024-06-15
Jochen Strubbe,M,SBD,Raw,24-34,Open,120,315.0,207.5,340.0,862.5,Belgium,2024-06-15
Steve Ringoot,M,SBD,Raw,24-34,Open,120+,320.0,227.5,340.0,887.5,Belgium,2024-06-15
Sonita Muluh,F,SBD,Raw,24-34,Open,,300.5,147.5,260.0,708.0,Belgium,2024-02-10
Sonita Muluh,F,SBD,Raw,24-34,Open,,318.5,157.5,275.0,751.0,Belgium,2026-01-31
Thierry Meurisse,M,B,Raw,20-23,Open,52,,110.0,,110.0,Belgium,1993-12-10
J. Werstra,M,B,Raw,24-34,Open,56,,115.0,,115.0,Belgium,1993-12-10
Pierre Vanderheyden,M,B,Raw,40-44,Open,75,,187.5,,187.5,Belgium,1993-12-10
Karl Maille,M,B,Raw,24-34,Open,75,,150.0,,150.0,Belgium,1993-12-10
Xavier Windels,M,B,Raw,24-34,Open,82.5,,165.0,,165.0,Belgium,1993-12-10
Herbert Diman,M,B,Raw,45-49,Open,82.5,,150.0,,150.0,Belgium,1993-12-10
Chesney Goossens,M,B,Raw,24-34,Open,74,,170.0,,170.0,Belgium,2021-10-22
Morgane Bouvy,F,SBD,Raw,20-23,Open,63,152.5,75.0,162.5,390.0,Belgium,2025-07-16
Mélina Sadikova,F,SBD,Raw,20-23,Open,57,125.0,75.0,162.5,362.5,Belgium,2025-07-16
Jean-Philippe Haid,M,SBD,Raw,24-34,Open,93,237.5,140.0,290.0,667.5,Belgium,2025-07-16
Jens De Maeseneer,M,SBD,Raw,20-23,Open,105,235.0,172.5,270.0,677.5,Belgium,2025-07-16
Simon Plennevaux,M,SBD,Raw,20-23,Open,93,275.0,155.0,270.0,700.0,Belgium,2025-07-16
Nathan Cavrenne,M,SBD,Raw,20-23,Open,83,235.0,147.5,250.0,632.5,Belgium,2025-07-16
Simon Ceuppens,M,SBD,Raw,20-23,Open,83,215.0,170.0,265.0,650.0,Belgium,2025-07-16
Steve Ringoot,M,SBD,Raw,24-34,Open,120+,332.5,232.5,325.0,890.0,Belgium,2021-09-23
Elise Rummens,F,SBD,Raw,35-39,Masters 1,57,115.0,67.5,162.5,345.0,Belgium,2021-09-23
Evelyne Roos,F,SBD,Raw,40-44,Masters 1,76,,62.5,,,Belgium,2021-09-23
Sahyuri Lalime,F,SBD,Raw,35-39,Open,63,152.5,77.5,175.0,405.0,Belgium,2021-09-23
Sonita Muluh,F,SBD,Raw,24-34,Open,84,195.0,95.0,230.0,520.0,Belgium,2021-09-23
Steve Ringoot,M,SBD,Raw,24-34,Open,120+,325.0,217.5,330.0,872.5,Belgium,2019-06-04
John Vercruyce,M,SBD,Raw,24-34,Open,120+,275.0,207.5,300.0,782.5,Belgium,2019-06-04
Grégory Ostyn,M,SBD,Raw,18-19,Sub-Juniors,66,160.0,120.0,,,Belgium,2019-06-04
Elias De Buck,M,SBD,Raw,20-23,Juniors,74,205.0,140.0,222.5,567.5,Belgium,2019-06-04
Jessica DeSousa,F,SBD,Raw,24-34,Open,57,110.0,67.5,142.5,320.0,Belgium,2019-06-04
Sahyuri Lalime,F,SBD,Raw,24-34,Open,63,150.0,77.5,180.0,407.5,Belgium,2019-06-04
Anne Daineffe,F,SBD,Raw,35-39,Open,63,137.5,82.5,150.0,370.0,Belgium,2019-06-04
Elise Rummens,F,SBD,Raw,40-44,Masters 1,57,135.0,75.0,180.0,390.0,Belgium,2025-10-10
Stefanie Verhulst,F,SBD,Raw,24-34,Open,52,127.5,75.0,152.5,355.0,Belgium,2025-06-08
Zoé Coinne,F,SBD,Raw,24-34,Open,57,142.5,92.5,152.5,387.5,Belgium,2025-06-08
Sahyuri Lalime,F,SBD,Raw,40-44,Open,63,185.0,97.5,202.5,485.0,Belgium,2025-06-08
Clara Haulot,F,SBD,Raw,20-23,Open,63,160.0,95.0,190.0,445.0,Belgium,2025-06-08
Jana Dutordoir,F,SBD,Raw,24-34,Open,69,172.5,85.0,205.0,462.5,Belgium,2025-06-08
Kaya Goossens,F,SBD,Raw,20-23,Open,69,175.0,100.0,185.0,460.0,Belgium,2025-06-08
Sonita Muluh,F,SBD,Raw,24-34,Open,84+,315.0,157.5,245.0,717.5,Belgium,2025-06-08
Elias De Buck,M,SBD,Raw,24-34,Open,83,257.5,182.5,287.5,727.5,Belgium,2025-06-08
Kevin Schippers,M,SBD,Raw,20-23,Open,83,255.0,142.5,295.0,692.5,Belgium,2025-06-08
Andrew Rubinstein,M,SBD,Raw,24-34,Open,93,260.0,187.5,315.0,762.5,Belgium,2025-06-08
Jonathan Celis,M,SBD,Raw,24-34,Open,105,322.5,212.5,290.0,825.0,Belgium,2025-06-08
Jochen Strubbe,M,SBD,Raw,24-34,Open,120,310.0,215.0,327.5,852.5,Belgium,2025-06-08
